"season","round","date","Home_team","Away_team","home_score","away_score","WinningTeam","margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff","Winner"
2017,"Round 1",2017-03-25,"Essendon","Hawthorn",116,91,"Essendon",25,3,-3,3,-2,1,2,54,0.0999999999999943,-4,4,5,8,-3,1,46,53,561,-13,12,1,18,-1,61,-12,"HOME"
2017,"Round 1",2017-03-26,"Adelaide","GWS",147,91,"Adelaide",56,1,1,-1,-1,-5,17,66,-1.40000000000001,2,-2,7,51,18,11,15,3,746,21,-10,0,92,-10,58,8,"HOME"
2017,"Round 2",2017-03-30,"Richmond","Collingwood",99,80,"Richmond",19,2,-3,-1,3,1,-6,-35,4.59999999999999,4,-4,-3,-40,1,0,5,-13,683,-9,7,6,-9,-1,-47,3,"HOME"
2017,"Round 2",2017-03-31,"Western Bulldogs","Sydney",110,87,"Western Bulldogs",23,6,-5,-15,1,5,16,60,3.89999999999999,-14,13,1,13,4,6,47,33,213,7,-1,6,37,-7,49,-11,"HOME"
2017,"Round 2",2017-04-01,"GWS","Gold Coast",160,58,"GWS",102,8,6,8,13,-2,36,13,5.8,7,-7,13,-16,23,7,29,-20,1850,-10,-6,7,101,-4,-14,0,"HOME"
2017,"Round 2",2017-04-01,"West Coast","St Kilda",116,97,"West Coast",19,3,0,-14,-1,12,2,61,3.40000000000001,-15,15,8,44,0,-7,17,36,199,-1,-2,-1,-14,7,70,3,"HOME"
2017,"Round 2",2017-04-02,"Geelong","North Melbourne",112,111,"Geelong",1,2,6,7,3,-6,-9,-2,2.8,5,-5,0,20,3,-3,-22,-19,2,17,-5,-3,5,3,3,0,"HOME"
2017,"Round 2",2017-04-02,"Melbourne","Carlton",86,64,"Melbourne",22,-3,-1,-6,3,3,7,64,4.2,-7,7,1,36,-2,2,28,16,446,6,9,4,9,-2,56,11,"HOME"
2017,"Round 2",2017-04-02,"Port Adelaide","Fremantle",145,56,"Port Adelaide",89,6,-1,1,-3,6,34,40,-1.3,-3,3,10,6,25,16,34,13,1023,8,-11,-2,49,-16,16,15,"HOME"
2017,"Round 3",2017-04-08,"Richmond","West Coast",76,65,"Richmond",11,1,-5,16,-4,-2,25,29,2.5,5,-6,1,1,7,4,28,-17,186,-4,-3,1,-17,-2,-9,6,"HOME"
2017,"Round 3",2017-04-08,"Geelong","Melbourne",126,97,"Geelong",29,0,-1,4,6,6,13,-6,1,0,0,7,44,-11,-15,-50,-31,-141,-6,8,7,-4,11,-19,0,"HOME"
2017,"Round 3",2017-04-08,"Fremantle","Western Bulldogs",89,73,"Fremantle",16,0,3,4,1,-1,-5,-16,1.8,0,0,-3,-19,-2,-2,3,11,95,-1,5,-4,0,0,-11,6,"HOME"
2017,"Round 3",2017-04-09,"St Kilda","Brisbane",107,76,"St Kilda",31,3,-2,-5,1,12,21,4,3.30000000000001,3,-3,-4,-35,13,15,39,17,893,6,-3,3,59,-16,-5,5,"HOME"
2017,"Round 3",2017-04-09,"Carlton","Essendon",57,42,"Carlton",15,1,4,-16,9,3,4,2,3.90000000000001,-7,7,0,-31,22,4,33,26,225,6,-18,5,19,0,-1,8,"HOME"
2017,"Round 3",2017-04-09,"Gold Coast","Hawthorn",139,53,"Gold Coast",86,10,14,-3,25,-1,62,155,3,-5,5,8,89,28,6,66,9,1504,3,-8,11,84,-7,94,10,"HOME"
2017,"Round 4",2017-04-13,"West Coast","Sydney",91,65,"West Coast",26,-2,-2,-12,-9,4,-4,35,4.8,-7,7,1,7,13,13,28,26,149,10,-8,-7,22,-15,45,0,"HOME"
2017,"Round 4",2017-04-15,"GWS","Port Adelaide",112,81,"GWS",31,6,6,3,19,-1,23,112,5.89999999999999,1,-1,3,70,12,-6,42,7,755,-9,-2,13,56,7,81,-5,"HOME"
2017,"Round 4",2017-04-15,"Adelaide","Essendon",153,88,"Adelaide",65,-1,-5,-16,0,7,15,-44,2.59999999999999,-3,2,7,-21,16,6,-23,-34,1054,0,-7,5,-7,-4,-58,4,"HOME"
2017,"Round 5",2017-04-21,"Port Adelaide","Carlton",137,47,"Port Adelaide",90,8,4,-7,6,2,10,84,4.2,1,-1,10,61,33,11,23,6,1827,19,-13,2,76,-11,74,13,"HOME"
2017,"Round 5",2017-04-22,"Western Bulldogs","Brisbane",122,90,"Western Bulldogs",32,5,-8,-10,1,4,27,59,1.5,-6,6,2,46,18,17,13,6,769,5,-8,9,53,-17,42,1,"HOME"
2017,"Round 5",2017-04-22,"Fremantle","North Melbourne",67,62,"Fremantle",5,2,6,-4,7,6,22,21,-4.8,0,1,2,4,4,-2,17,-6,47,-4,1,1,38,4,-6,-1,"HOME"
2017,"Round 5",2017-04-23,"Hawthorn","West Coast",125,75,"Hawthorn",50,3,-1,-6,-2,-5,22,97,2.2,-6,6,6,38,7,13,59,19,524,24,1,-1,29,-11,67,-4,"HOME"
2017,"Round 5",2017-04-24,"Richmond","Melbourne",88,75,"Richmond",13,0,-2,1,8,0,-8,-58,-4.2,-2,2,0,-57,-4,2,-1,-2,-191,-7,8,10,18,-2,-73,-9,"HOME"
2017,"Round 5",2017-04-25,"Essendon","Collingwood",100,82,"Essendon",18,1,0,-3,4,-2,-6,6,-1.3,0,0,5,0,-22,-5,6,1,-134,8,28,4,17,6,3,-4,"HOME"
2017,"Round 6",2017-04-28,"GWS","Western Bulldogs",75,73,"GWS",2,-1,1,11,2,8,-4,9,-1.59999999999999,8,-8,5,-6,-13,-5,15,23,188,-14,14,1,-34,3,17,-10,"HOME"
2017,"Round 6",2017-04-29,"Carlton","Sydney",97,78,"Carlton",19,-6,7,-3,-1,4,-1,29,2.40000000000001,-5,5,4,-28,4,1,57,42,-253,2,-4,-8,-11,-1,28,-5,"HOME"
2017,"Round 6",2017-04-29,"North Melbourne","Gold Coast",107,94,"North Melbourne",13,1,-4,8,-5,7,7,-11,-5.19999999999999,0,0,-5,-10,6,6,-1,6,501,-2,-1,-1,2,-6,-11,7,"HOME"
