"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
25,3,-3,3,-2,1,2,54,0.0999999999999943,-4,4,5,8,-3,1,46,53,561,-13,12,1,18,-1,61,-12
56,1,1,-1,-1,-5,17,66,-1.40000000000001,2,-2,7,51,18,11,15,3,746,21,-10,0,92,-10,58,8
19,2,-3,-1,3,1,-6,-35,4.59999999999999,4,-4,-3,-40,1,0,5,-13,683,-9,7,6,-9,-1,-47,3
23,6,-5,-15,1,5,16,60,3.89999999999999,-14,13,1,13,4,6,47,33,213,7,-1,6,37,-7,49,-11
102,8,6,8,13,-2,36,13,5.8,7,-7,13,-16,23,7,29,-20,1850,-10,-6,7,101,-4,-14,0
19,3,0,-14,-1,12,2,61,3.40000000000001,-15,15,8,44,0,-7,17,36,199,-1,-2,-1,-14,7,70,3
1,2,6,7,3,-6,-9,-2,2.8,5,-5,0,20,3,-3,-22,-19,2,17,-5,-3,5,3,3,0
22,-3,-1,-6,3,3,7,64,4.2,-7,7,1,36,-2,2,28,16,446,6,9,4,9,-2,56,11
89,6,-1,1,-3,6,34,40,-1.3,-3,3,10,6,25,16,34,13,1023,8,-11,-2,49,-16,16,15
11,1,-5,16,-4,-2,25,29,2.5,5,-6,1,1,7,4,28,-17,186,-4,-3,1,-17,-2,-9,6
29,0,-1,4,6,6,13,-6,1,0,0,7,44,-11,-15,-50,-31,-141,-6,8,7,-4,11,-19,0
16,0,3,4,1,-1,-5,-16,1.8,0,0,-3,-19,-2,-2,3,11,95,-1,5,-4,0,0,-11,6
31,3,-2,-5,1,12,21,4,3.30000000000001,3,-3,-4,-35,13,15,39,17,893,6,-3,3,59,-16,-5,5
15,1,4,-16,9,3,4,2,3.90000000000001,-7,7,0,-31,22,4,33,26,225,6,-18,5,19,0,-1,8
86,10,14,-3,25,-1,62,155,3,-5,5,8,89,28,6,66,9,1504,3,-8,11,84,-7,94,10
26,-2,-2,-12,-9,4,-4,35,4.8,-7,7,1,7,13,13,28,26,149,10,-8,-7,22,-15,45,0
31,6,6,3,19,-1,23,112,5.89999999999999,1,-1,3,70,12,-6,42,7,755,-9,-2,13,56,7,81,-5
65,-1,-5,-16,0,7,15,-44,2.59999999999999,-3,2,7,-21,16,6,-23,-34,1054,0,-7,5,-7,-4,-58,4
90,8,4,-7,6,2,10,84,4.2,1,-1,10,61,33,11,23,6,1827,19,-13,2,76,-11,74,13
32,5,-8,-10,1,4,27,59,1.5,-6,6,2,46,18,17,13,6,769,5,-8,9,53,-17,42,1
5,2,6,-4,7,6,22,21,-4.8,0,1,2,4,4,-2,17,-6,47,-4,1,1,38,4,-6,-1
50,3,-1,-6,-2,-5,22,97,2.2,-6,6,6,38,7,13,59,19,524,24,1,-1,29,-11,67,-4
13,0,-2,1,8,0,-8,-58,-4.2,-2,2,0,-57,-4,2,-1,-2,-191,-7,8,10,18,-2,-73,-9
18,1,0,-3,4,-2,-6,6,-1.3,0,0,5,0,-22,-5,6,1,-134,8,28,4,17,6,3,-4
2,-1,1,11,2,8,-4,9,-1.59999999999999,8,-8,5,-6,-13,-5,15,23,188,-14,14,1,-34,3,17,-10
19,-6,7,-3,-1,4,-1,29,2.40000000000001,-5,5,4,-28,4,1,57,42,-253,2,-4,-8,-11,-1,28,-5
13,1,-4,8,-5,7,7,-11,-5.19999999999999,0,0,-5,-10,6,6,-1,6,501,-2,-1,-1,2,-6,-11,7
41,1,-1,-7,4,7,21,89,-0.100000000000009,-7,7,6,22,1,8,67,53,734,6,2,5,38,-8,73,2
76,-5,3,-6,8,11,26,127,4.90000000000001,-6,6,5,54,10,9,73,67,1227,-17,4,5,104,-7,110,-10
23,6,3,-15,11,4,12,-2,-4.59999999999999,-12,12,3,-24,11,2,22,10,849,-9,-3,8,-1,-2,-23,7
59,1,12,-11,13,-5,-7,-1,4.69999999999999,-7,7,8,-24,23,2,23,8,1054,-2,-12,1,27,-1,2,18
25,2,4,-8,4,5,12,67,4.3,-4,3,2,30,23,4,37,26,781,2,-17,0,55,-3,61,5
5,1,3,-6,8,-12,3,77,-3,-12,12,-2,65,15,2,12,-3,-32,13,-16,5,34,-1,74,2
54,12,1,5,-1,7,1,50,2.5,3,-3,8,38,6,11,12,5,1147,-13,5,-2,54,-11,45,1
37,5,8,-12,13,4,20,85,2,-9,9,0,27,15,-4,58,42,881,-21,-6,5,47,5,65,-9
8,-10,-3,2,-4,7,-7,7,4,3,-3,-2,-28,-3,6,35,48,122,-2,6,-1,10,-9,25,-7
38,2,3,-6,5,3,17,77,6.90000000000001,-4,4,8,20,13,-1,57,50,730,23,-7,2,40,1,67,-7
19,2,2,12,4,-10,20,69,0.299999999999997,-1,1,3,89,22,8,-20,-24,674,9,-14,2,54,-7,65,10
3,5,3,-9,0,-3,6,17,-3.2,-1,1,0,14,6,7,3,-14,91,-17,-3,-3,12,-7,11,2
17,3,-8,-7,-17,-6,-20,53,4.40000000000001,-11,11,9,16,-11,4,37,25,313,-4,14,-9,-4,-2,59,4
23,-1,6,10,7,7,4,-8,2.5,4,-4,1,-12,6,0,4,12,378,-13,-2,1,-11,-2,-11,9
3,7,3,-7,12,-14,-11,-19,4.2,1,-1,-1,5,-16,-11,-24,-20,59,6,19,9,-11,10,4,1
18,0,4,3,5,2,7,51,0.600000000000009,-4,4,4,33,4,5,18,20,650,-4,4,1,27,-5,52,1
61,3,8,1,6,1,31,119,0,-3,3,6,26,1,-1,93,64,969,11,11,-2,39,2,85,4
35,-1,7,-2,8,1,12,1,-3,-3,3,3,30,9,-4,-29,-31,253,7,-3,1,17,4,-15,11
2,1,-2,-17,-8,0,-2,72,10.1,-9,9,1,56,14,5,16,19,-8,1,-13,-6,22,-7,74,17
40,7,1,-13,-7,-5,2,-1,0.200000000000003,-4,4,6,28,9,9,-29,-33,251,6,-1,-8,49,-9,5,-10
35,1,3,-7,2,-7,16,71,-0.799999999999997,0,0,4,17,31,8,54,24,907,19,-26,-1,48,-7,65,10
15,8,4,-20,-5,-5,-8,-47,-0.699999999999989,-3,3,1,-78,29,12,31,10,260,-4,-25,-9,15,-12,-43,19
100,6,3,-4,5,6,38,102,7.7,0,0,7,45,32,20,57,41,1876,11,-11,2,105,-20,82,10
45,8,1,-2,6,0,21,134,0.699999999999989,2,-2,4,57,39,11,77,45,1042,5,-27,5,106,-10,118,6
51,-2,5,-12,8,11,38,75,-1.2,-4,5,6,42,38,13,33,8,864,-15,-29,3,45,-12,32,21
22,-2,1,2,-2,2,34,108,5.3,-1,1,0,69,1,12,39,32,590,-5,5,-3,62,-12,88,0
3,8,-8,13,-8,4,19,66,4.2,1,-1,-1,34,-1,8,32,20,234,5,4,0,33,-8,55,-8
16,1,-4,-1,6,-5,11,18,6.40000000000001,-1,1,2,-12,9,-6,30,14,413,-9,-5,10,15,6,3,4
46,0,9,-6,8,10,16,43,3.3,-9,9,3,-22,31,2,65,41,1146,1,-19,-1,69,-3,24,12
