"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Jason Castagna","Richmond",92,"Forward",6.73,5.1,11.83,63.18,1.04,0.91,0.01,2.83,0.27,2.36,0.4,2.02,0.63,0.58,4.15,7.61,0.02,0.32,1.45,0.71,0.48,0.45,82.68,0.11,0.3,4.82,198.39,2.85,1,1.1,0.02,0.04,1.41,0.3,3.13,3.64,1.32,3.13,0,0.07,14.25,0.04,0.46,0.42
"David Astbury","Richmond",78,"Defender",8.81,5.38,14.19,82.81,0.01,0,0.08,1.13,3.08,0.74,0.1,2.04,0.77,0.85,4.9,9.14,0.01,0.95,0.01,4.79,0.04,0.03,93.33,0.03,0.08,2.22,223.31,2.63,6.47,0,0.86,3.51,0.1,0.03,4.58,7.33,0,2.97,0,2.17,6.14,0.49,1,4.32
"Daniel Rioli","Richmond",77,"Forward",6.12,5.56,11.68,72.77,0.87,0.57,0.01,3.23,0.26,2.36,0.45,1.82,0.87,0.64,4.36,7.68,0.01,0.22,0.64,1.08,0.42,0.48,81.52,0.08,0.38,4.45,187.6,2.31,1.43,1.08,0.04,0.09,1.03,0.29,3.91,3.88,1.12,3.03,0,0.16,16.35,0.16,0.48,0.48
"Bachar Houli","Richmond",71,"Defender",13.51,9.96,23.46,78.3,0.13,0.23,0,2.63,4.01,2.7,0.76,2.35,0.63,0.51,5.32,16.14,0.17,0.17,0.2,2.1,0.96,0.25,81.38,0.28,0.49,4.25,408.37,4.63,5.55,0.06,0.18,0.65,0.03,0,7.14,9.72,0.18,4.27,0,1.06,10.76,0,1.14,1.48
"Dion Prestia","Richmond",69,"Midfield",13.12,11.32,24.43,66.67,0.36,0.42,0,4.23,1.8,4.03,4.74,3.72,0.99,0.9,10.1,14.45,0.23,0.04,0.19,1.14,0.25,0.54,79.36,1.83,2.9,5.78,380.86,4.97,2.94,0.49,0.04,0.09,0.14,0.07,9.61,7.22,1.04,7.59,0,0.25,21.74,0,1.54,0.17
"Dustin Martin","Richmond",91,"Forward",16.14,9.57,25.71,65.55,1.34,0.84,0.01,2.62,0.44,5.75,5,4.68,1.05,1.56,11.9,13.21,0.86,0.89,0.85,1.25,1.03,0.97,85.03,2.82,2.19,7.77,440.12,5.45,2.08,0.54,0.01,0.08,2.29,1.11,4.41,8.77,1.82,7.89,0.01,0.13,14.59,0.32,1.52,0.37
"Liam Baker","Richmond",42,"Interchange",8.26,7.26,15.52,70.83,0.24,0.36,0,2.48,1.81,2.02,0.64,2.21,0.86,0.88,5.74,9.79,0,0.07,0.29,1.48,0.12,0.29,76.67,0.19,0.45,3.12,228.52,3.14,4.76,0.38,0.33,0.79,0.19,0.02,6.26,5.17,0.4,4.67,0,0.81,11.9,0,1.07,0.95
"Nick Vlastuin","Richmond",81,"Defender",10.33,6.07,16.41,80.99,0.11,0.06,0,2.59,4.25,1.36,0.49,2.38,0.79,1.12,5.84,9.96,0.07,0.74,0.1,3.6,0.27,0.21,84.23,0.14,0.35,3.1,297.15,2.79,7.33,0.15,0.4,1.53,0.19,0.04,7.58,8.16,0.1,4.19,0,2.51,10.32,0.04,1.44,3.05
"Jayden Short","Richmond",76,"Defender",13.74,4.43,18.17,78.26,0.18,0.18,0,1.49,4.2,2.64,0.41,2.17,0.34,0.53,3.99,12.84,0.01,0.13,0.07,1.21,1.41,0.14,77.5,0.07,0.34,3.45,465.39,4.24,4.17,0.04,0.21,0.66,0.01,0,5.91,10.41,0,3.36,0,0.72,8.45,0,1.12,0.75
"Kane Lambert","Richmond",87,"Forward",9.37,11.07,20.44,72.11,0.64,0.39,0,3.61,0.95,3.53,2.37,2.59,0.57,0.59,7.6,12.89,0.21,0.09,0.57,1.18,0.15,0.75,84.55,0.39,1.97,6.02,276.24,3.86,2.46,0.64,0.03,0.06,0.25,0.06,7.56,5.66,1.3,6.09,0,0.24,18.28,0,1.18,0.41
