Player,Team,Position,Rank
Lachie Neale,Brisbane,Mid,99.2
Dustin Martin,Richmond,Mid,97.3
Travis Boak,P Adelaide,Mid,97.1
Max Gawn,Melbourne,Ruck,97.1
Jack Steele,St Kilda,Mid,96.9
Nat Fyfe,Fremantle,Mid,96.8
Patrick Dangerfield,Geelong,Mid,96
Christian Petracca,Melbourne,Mid,95.3
Zach Merrett,Essendon,Mid,95.2
Toby Greene,GWS,Gen Fwd,95
Nic Naitanui,West Coast,Ruck,94.7
Marcus Bontempelli,Bulldogs,Mid,94.6
Harris Andrews,Brisbane,Key Def,93.4
Chad Wingard,Hawthorn,Gen Fwd,93
Taylor Adams,Collingwood,Mid,93
Adam Treloar,Collingwood,Mid,92.7
Scott Pendlebury,Collingwood,Mid,92.7
Tom Hawkins,Geelong,Key Fwd,92.5
Todd Goldstein,N Melbourne,Ruck,92.5
Jack Macrae,Bulldogs,Mid,92.5
Clayton Oliver,Melbourne,Mid,92.2
Shai Bolton,Richmond,Gen Fwd,92.1
Ben Cunnington,N Melbourne,Mid,92
Isaac Heeney,Sydney,Gen Fwd,91.8
Steven May,Melbourne,Key Def,91.5
Jake Lloyd,Sydney,Gen Def,91.3
Caleb Daniel,Bulldogs,Gen Def,91.2
Dion Prestia,Richmond,Mid,91.2
Luke Parker,Sydney,Mid,91.2
Liam Ryan,West Coast,Gen Fwd,91
Ollie Wines,P Adelaide,Mid,90.8
Rory Laird,Adelaide,Gen Def,90.8
Darcy Moore,Collingwood,Key Def,90.7
Matt Crouch,Adelaide,Mid,90.4
Daniel Rich,Brisbane,Gen Def,90.2
Michael Walters,Fremantle,Gen Fwd,90.1
Lance Franklin,Sydney,Key Fwd,90
Bachar Houli,Richmond,Gen Def,89.9
James Sicily,Hawthorn,Gen Def,89.7
Mitch Duncan,Geelong,Mid,89.5
Jade Gresham,St Kilda,Gen Fwd,89.5
Nick Haynes,GWS,Gen Def,89.5
Jacob Weitering,Carlton,Key Def,89
Tom Stewart,Geelong,Gen Def,88.9
Cameron Guthrie,Geelong,Mid,88.8
Lachie Whitfield,GWS,Mid,88.7
Josh Dunkley,Bulldogs,Mid,88.5
Jordan De Goey,Collingwood,Gen Fwd,88.3
Robbie Gray,P Adelaide,Gen Fwd,88.1
Luke Ryan,Fremantle,Gen Def,87.9
Dane Rampe,Sydney,Gen Def,87.7
Josh P. Kennedy,Sydney,Mid,87.5
Rowan Marshall,St Kilda,Ruck,87.5
Jeremy McGovern,West Coast,Key Def,87.4
Elliot Yeo,West Coast,Mid,87.1
Jayden Short,Richmond,Gen Def,87.1
Jeremy Howe,Collingwood,Gen Def,87.1
Jack Crisp,Collingwood,Gen Def,86.9
Dylan Grimes,Richmond,Key Def,86.1
Jarrod Witts,Gold Coast,Ruck,86
Tim Kelly,West Coast,Mid,86
Brodie Grundy,Collingwood,Ruck,85.6
Connor Rozee,P Adelaide,Gen Fwd,85.4
Tom Mitchell,Hawthorn,Mid,85.3
Dan Butler,St Kilda,Gen Fwd,85.3
Jack Martin,Carlton,Gen Fwd,85.1
Tom Papley,Sydney,Gen Fwd,85.1
Jarryd Lyons,Brisbane,Mid,84.3
Andrew McGrath,Essendon,Mid,84
Sam Menegola,Geelong,Mid,84
Charlie Dixon,P Adelaide,Key Fwd,83.6
Reilly O'Brien,Adelaide,Ruck,83.6
Adam Saad,Essendon,Gen Def,83.6
Josh J. Kennedy,West Coast,Key Fwd,83.4
James Worpel,Hawthorn,Mid,83.3
Zac Williams,GWS,Gen Def,83.1
Brayden Maynard,Collingwood,Gen Def,83
Jordan Ridley,Essendon,Gen Def,82.9
Sam Walsh,Carlton,Mid,82.9
Josh Kelly,GWS,Mid,82.3
Tom Jonas,P Adelaide,Key Def,82.1
Darcy Byrne-Jones,P Adelaide,Gen Def,82.1
Steele Sidebottom,Collingwood,Mid,82.1
Tim English,Bulldogs,Ruck,81.9
Ben McEvoy,Hawthorn,Key Def,81.9
Sam Docherty,Carlton,Gen Def,81.8
Charles Cameron,Brisbane,Gen Fwd,81.4
Robbie Tarrant,N Melbourne,Key Def,80.9
Nick Vlastuin,Richmond,Gen Def,80.4
Stephen Coniglio,GWS,Mid,80.1
Patrick Cripps,Carlton,Mid,79.8
Luke Shuey,West Coast,Mid,79.8
Dylan Shiel,Essendon,Mid,79.8
Andrew Gaff,West Coast,Mid,79.8
Phil Davis,GWS,Key Def,79.7
Noah Balta,Richmond,Key Def,79.6
Tom Rockliff,P Adelaide,Mid,79.4
Andrew Brayshaw,Fremantle,Mid,79.3
Hugh McCluggage,Brisbane,Mid,79.3
Zak Jones,St Kilda,Mid,79.2
Luke McDonald,N Melbourne,Gen Def,78.6
Matthew Kreuzer,Carlton,Ruck,78.6
Callan Ward,GWS,Mid,78.2
Hunter Clark,St Kilda,Gen Def,77.5
Wayne Milera,Adelaide,Gen Def,77.4
Michael Hurley,Essendon,Key Def,77.3
Tom Barrass,West Coast,Key Def,77.2
Lachie Hunter,Bulldogs,Mid,77.2
Jack Gunston,Hawthorn,Key Fwd,77.2
Liam Jones,Carlton,Key Def,77.2
Mitch Wallis,Bulldogs,Gen Fwd,77
Ben Brown,N Melbourne,Key Fwd,76.9
Mark Blicavs,Geelong,Key Def,76.7
Jordan Dawson,Sydney,Gen Def,76.7
Nic Newman,Carlton,Gen Def,76.5
Jimmy Webster,St Kilda,Gen Def,76.2
Shane Edwards,Richmond,Mid,75.9
Jack Viney,Melbourne,Mid,75.8
Callum Mills,Sydney,Gen Def,75.7
Charlie Curnow,Carlton,Key Fwd,75.7
