Player,Position
Lachie Neale,Mid
Dustin Martin,Mid
Travis Boak,Mid
Max Gawn,Ruck
Jack Steele,Mid
Nat Fyfe,Mid
Patrick Dangerfield,Mid
Christian Petracca,Mid
Zach Merrett,Mid
Toby Greene,Gen Fwd
Nic Naitanui,Ruck
Marcus Bontempelli,Mid
Harris Andrews,Key Def
Chad Wingard,Gen Fwd
Taylor Adams,Mid
Adam Treloar,Mid
Scott Pendlebury,Mid
Tom Hawkins,Key Fwd
Todd Goldstein,Ruck
Jack Macrae,Mid
Clayton Oliver,Mid
Shai Bolton,Gen Fwd
Ben Cunnington,Mid
Isaac Heeney,Gen Fwd
Steven May,Key Def
Jake Lloyd,Gen Def
Caleb Daniel,Gen Def
Dion Prestia,Mid
Luke Parker,Mid
Liam Ryan,Gen Fwd
Ollie Wines,Mid
Rory Laird,Gen Def
Darcy Moore,Key Def
Matt Crouch,Mid
Daniel Rich,Gen Def
Michael Walters,Gen Fwd
Lance Franklin,Key Fwd
Bachar Houli,Gen Def
James Sicily,Gen Def
Mitch Duncan,Mid
Jade Gresham,Gen Fwd
Nick Haynes,Gen Def
Jacob Weitering,Key Def
Tom Stewart,Gen Def
Cameron Guthrie,Mid
Lachie Whitfield,Mid
Josh Dunkley,Mid
Jordan De Goey,Gen Fwd
Robbie Gray,Gen Fwd
Luke Ryan,Gen Def
Dane Rampe,Gen Def
Josh P. Kennedy,Mid
Rowan Marshall,Ruck
Jeremy McGovern,Key Def
Elliot Yeo,Mid
Jayden Short,Gen Def
Jeremy Howe,Gen Def
Jack Crisp,Gen Def
Dylan Grimes,Key Def
Jarrod Witts,Ruck
Tim Kelly,Mid
Brodie Grundy,Ruck
Connor Rozee,Gen Fwd
Tom Mitchell,Mid
Dan Butler,Gen Fwd
Jack Martin,Gen Fwd
Tom Papley,Gen Fwd
Jarryd Lyons,Mid
Andrew McGrath,Mid
Sam Menegola,Mid
Charlie Dixon,Key Fwd
Reilly O'Brien,Ruck
Adam Saad,Gen Def
Josh J. Kennedy,Key Fwd
James Worpel,Mid
Zac Williams,Gen Def
Brayden Maynard,Gen Def
Jordan Ridley,Gen Def
Sam Walsh,Mid
Josh Kelly,Mid
Tom Jonas,Key Def
Darcy Byrne-Jones,Gen Def
Steele Sidebottom,Mid
Tim English,Ruck
Ben McEvoy,Key Def
Sam Docherty,Gen Def
Charles Cameron,Gen Fwd
Robbie Tarrant,Key Def
Nick Vlastuin,Gen Def
Stephen Coniglio,Mid
Patrick Cripps,Mid
Luke Shuey,Mid
Dylan Shiel,Mid
Andrew Gaff,Mid
Phil Davis,Key Def
Noah Balta,Key Def
Tom Rockliff,Mid
Andrew Brayshaw,Mid
Hugh McCluggage,Mid
Zak Jones,Mid
Luke McDonald,Gen Def
Matthew Kreuzer,Ruck
Callan Ward,Mid
Hunter Clark,Gen Def
Wayne Milera,Gen Def
Michael Hurley,Key Def
Tom Barrass,Key Def
Lachie Hunter,Mid
Jack Gunston,Key Fwd
Liam Jones,Key Def
Mitch Wallis,Gen Fwd
Ben Brown,Key Fwd
Mark Blicavs,Key Def
