overall_rank,player,team,position,player_rating,positional_rank
13,Harris Andrews,Brisbane,Key Def,93.4,1
25,Steven May,Melbourne,Key Def,91.5,2
33,Darcy Moore,Collingwood,Key Def,90.7,3
43,Jacob Weitering,Carlton,Key Def,89,4
54,Jeremy McGovern,West Coast,Key Def,87.4,5
59,Dylan Grimes,Richmond,Key Def,86.1,6
81,Tom Jonas,P Adelaide,Key Def,82.1,7
85,Ben McEvoy,Hawthorn,Key Def,81.9,8
88,Robbie Tarrant,N Melbourne,Key Def,80.9,9
95,Phil Davis,GWS,Key Def,79.7,10
96,Noah Balta,Richmond,Key Def,79.6,11
106,Michael Hurley,Essendon,Key Def,77.3,12
107,Tom Barrass,West Coast,Key Def,77.2,13
110,Liam Jones,Carlton,Key Def,77.2,14
113,Mark Blicavs,Geelong,Key Def,76.7,15
128,Majak Daw,N Melbourne,Key Def,74.8,16
132,Marcus Adams,Brisbane,Key Def,73.6,17
134,Dougal Howard,St Kilda,Key Def,73.6,18
147,Cale Hooker,Essendon,Key Def,71.1,19
155,Sam Frost,Hawthorn,Key Def,70.1,20
26,Jake Lloyd,Sydney,Gen Def,91.3,1
27,Caleb Daniel,Bulldogs,Gen Def,91.2,2
32,Rory Laird,Adelaide,Gen Def,90.8,3
35,Daniel Rich,Brisbane,Gen Def,90.2,4
38,Bachar Houli,Richmond,Gen Def,89.9,5
39,James Sicily,Hawthorn,Gen Def,89.7,6
42,Nick Haynes,GWS,Gen Def,89.5,7
44,Tom Stewart,Geelong,Gen Def,88.9,8
50,Luke Ryan,Fremantle,Gen Def,87.9,9
51,Dane Rampe,Sydney,Gen Def,87.7,10
56,Jayden Short,Richmond,Gen Def,87.1,11
57,Jeremy Howe,Collingwood,Gen Def,87.1,12
58,Jack Crisp,Collingwood,Gen Def,86.9,13
73,Adam Saad,Essendon,Gen Def,83.6,14
76,Zac Williams,GWS,Gen Def,83.1,15
77,Brayden Maynard,Collingwood,Gen Def,83,16
78,Jordan Ridley,Essendon,Gen Def,82.9,17
82,Darcy Byrne-Jones,P Adelaide,Gen Def,82.1,18
86,Sam Docherty,Carlton,Gen Def,81.8,19
89,Nick Vlastuin,Richmond,Gen Def,80.4,20
10,Toby Greene,GWS,Gen Fwd,95,1
14,Chad Wingard,Hawthorn,Gen Fwd,93,2
22,Shai Bolton,Richmond,Gen Fwd,92.1,3
24,Isaac Heeney,Sydney,Gen Fwd,91.8,4
30,Liam Ryan,West Coast,Gen Fwd,91,5
36,Michael Walters,Fremantle,Gen Fwd,90.1,6
41,Jade Gresham,St Kilda,Gen Fwd,89.5,7
